X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.04749247,38.82175727,30373273,38.82175,-77.047494,Potomac Greens Dr & Slaters Ln,classic,338,active,2021/11/07 22:09:49+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.06356274,38.80268765,30373274,38.802677,-77.063562,Ballenger Ave & Dulaney St,classic,339,active,2021/11/07 04:24:24+00,15,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.0576248,38.82006812,30373275,38.820064,-77.057619,Mount Vernon Ave & E Nelson Ave,classic,340,active,2021/11/07 13:22:58+00,8,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.05853934,38.82595921,30373276,38.82595,-77.058541,Mount Vernon Ave & E Del Ray Ave,classic,341,active,2021/11/07 19:14:49+00,7,0,8,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.05309995,38.82094409,30373277,38.820932,-77.053096,Monroe Ave & Leslie Ave,classic,342,active,2021/11/07 12:30:36+00,3,0,12,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.05982361,38.83308426,30373278,38.833077,-77.059821,Mount Vernon Ave & Kennedy St,classic,343,active,2021/11/07 22:17:36+00,10,0,5,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/11/07 23:02:59+00,,"Alexandria, VA"
-77.08480408,38.8906236,30373279,38.890612,-77.084801,Court House Metro / 15th St & N Uhle St,classic,344,active,2021/11/07 19:52:40+00,6,0,15,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,21,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.00003692,38.98675487,30373280,38.986743,-77.000035,WAU / Flower Ave & Division St,classic,345,active,2021/11/07 13:02:42+00,11,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.05003356,38.86556429,30373281,38.865553,-77.05003,Long Bridge Park / Long Bridge Dr & 6th St S,classic,346,active,2021/11/07 15:30:12+00,7,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.0751419,38.96455247,30373282,38.964544,-77.075135,Connecticut Ave & McKinley St NW,classic,347,active,2021/11/07 19:03:25+00,17,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
